distance_km,weather_severity,road_type,season,cargo_weight_kg,driver_experience_yrs,departure_hour,is_delayed
152,3,highway,summer,18312,16,6,0
485,2,highway,spring,4878,17,9,0
320,3,highway,spring,8029,0,11,0
156,2,rural,spring,3571,18,17,0
121,5,rural,summer,17439,21,13,1
750,2,rural,winter,18447,28,6,1
70,4,rural,spring,12192,7,9,0
664,1,highway,winter,1540,2,18,0
171,1,rural,winter,3186,25,21,1
516,5,highway,fall,13166,24,17,1
264,4,highway,summer,3053,25,13,0
380,3,highway,summer,2279,4,18,0
508,4,rural,fall,13686,22,7,0
137,1,rural,fall,16959,7,5,0
422,1,highway,winter,5557,18,6,0
149,4,highway,spring,19233,17,10,0
713,4,rural,summer,19657,17,19,1
180,1,highway,spring,2762,20,13,0
711,3,rural,spring,10808,0,20,1
358,5,rural,fall,17276,14,8,0
393,5,highway,spring,17992,17,16,0
541,4,highway,winter,5688,28,16,1
463,5,rural,fall,9302,24,14,1
435,1,rural,spring,5557,6,14,1
241,1,highway,fall,4498,15,19,0
326,4,rural,winter,9364,15,18,1
210,4,highway,winter,4177,14,20,0
509,4,highway,spring,6296,5,21,0
363,3,rural,fall,14950,8,7,1
71,5,rural,spring,6863,6,8,1
302,4,highway,spring,8623,13,10,0
797,2,rural,fall,8722,10,5,1
610,2,highway,spring,14154,20,4,0
524,1,highway,winter,18284,15,15,1
108,5,highway,fall,4571,24,13,0
560,4,rural,fall,9308,5,11,1
731,2,highway,fall,3286,21,4,1
525,5,highway,fall,1370,26,15,0
749,1,highway,spring,4696,15,5,1
239,3,rural,spring,12296,19,13,0
736,5,rural,winter,3239,28,20,1
612,5,rural,summer,1440,15,6,1
616,3,highway,summer,840,11,10,1
293,5,rural,winter,4633,16,15,1
554,1,highway,summer,17543,4,11,0
180,1,rural,winter,10725,26,15,0
534,3,rural,spring,10252,24,6,1
696,4,highway,fall,3957,12,20,1
70,2,rural,fall,10348,7,12,1
216,4,highway,spring,19859,23,13,0
323,5,highway,fall,9741,4,9,0
437,2,highway,fall,953,11,4,0
650,3,highway,summer,10396,8,15,0
365,3,highway,spring,11476,2,8,0
63,2,rural,summer,16372,2,16,0
291,1,highway,summer,1318,0,18,0
395,2,rural,fall,5368,24,14,0
614,5,highway,fall,16896,21,11,1
389,1,highway,spring,12671,17,8,0
141,3,rural,fall,1420,23,5,0
416,2,highway,fall,19302,11,15,0
504,4,highway,spring,10006,8,5,1
477,4,rural,fall,6975,8,19,1
558,5,highway,summer,2517,17,6,1
84,4,highway,spring,8457,17,13,0
255,2,highway,fall,16730,28,11,0
130,2,rural,winter,9920,6,10,0
611,4,rural,spring,5292,26,4,0
437,2,rural,spring,13737,3,15,0
51,5,rural,winter,19318,12,8,1
439,1,highway,fall,16751,16,19,1
615,5,highway,fall,19752,23,7,0
155,5,rural,spring,11207,1,20,1
526,2,highway,spring,1938,13,5,0
752,1,highway,fall,4043,2,15,0
451,2,highway,fall,11867,4,4,0
779,3,highway,summer,18665,13,15,0
605,2,rural,spring,16020,2,15,0
211,2,highway,spring,6843,22,15,0
251,2,highway,winter,2763,6,20,0
319,1,highway,summer,10661,29,14,0
320,2,rural,fall,711,17,16,1
505,1,highway,summer,14309,12,11,0
511,4,highway,fall,7527,28,13,1
776,3,rural,fall,831,22,11,0
301,1,rural,summer,8669,26,11,0
751,4,highway,spring,9633,21,12,0
345,1,highway,fall,15091,9,10,0
774,1,highway,summer,16625,24,17,1
769,3,highway,winter,1227,12,5,1
798,5,highway,summer,11554,15,14,0
387,5,highway,winter,3743,8,11,1
102,1,highway,fall,17532,1,16,0
266,2,highway,summer,5595,22,18,0
237,4,rural,summer,14309,4,6,1
429,2,rural,winter,11429,28,17,1
542,2,rural,summer,15342,21,18,0
90,1,highway,summer,17893,16,5,0
206,1,highway,fall,2050,22,15,0
64,1,rural,summer,9495,21,7,0
114,1,highway,spring,15666,3,6,0
570,5,highway,winter,7992,16,8,0
393,1,highway,summer,13001,8,6,0
178,5,rural,winter,16067,19,18,1
697,5,rural,winter,13765,1,5,1
521,1,highway,winter,5924,23,15,0
112,3,highway,summer,14586,17,8,0
188,4,rural,summer,3661,20,20,0
548,2,highway,winter,9715,26,17,0
642,5,rural,spring,7117,21,13,1
441,4,rural,winter,12426,10,6,1
724,3,rural,spring,15592,12,7,0
468,2,highway,winter,16660,7,9,0
338,2,highway,fall,18060,26,19,0
428,5,highway,winter,16138,0,10,0
539,1,rural,winter,2733,16,18,1
280,3,rural,summer,5200,11,14,1
90,5,highway,spring,11527,3,4,0
77,3,highway,fall,8360,20,8,0
184,1,rural,spring,8026,12,16,0
250,1,rural,fall,6059,28,17,0
82,5,rural,winter,7232,8,12,1
97,1,highway,summer,3013,26,20,0
552,4,highway,summer,8330,29,18,1
456,2,rural,spring,15281,6,10,0
623,5,rural,summer,8410,22,15,0
777,3,highway,spring,16347,23,9,0
148,4,highway,spring,6149,4,19,0
733,5,highway,fall,17980,4,8,1
775,1,highway,spring,9620,16,12,0
